psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100911012604,2319211,300,0,0,Nov-2025,UNPAID,False
26770110100911012603,2319206,300,0,0,Nov-2025,UNPAID,False
26770110100911012602,2319201,300,0,0,Nov-2025,UNPAID,False
26770110100911012601,2319171,300,0,0,Nov-2025,UNPAID,False
26770110100911012600,2319156,300,0,0,Nov-2025,UNPAID,False
26770110100911012599,2319148,300,0,0,Nov-2025,UNPAID,False
26770110100911012598,2319058,300,0,0,Nov-2025,UNPAID,False
26770110100911012597,2319020,300,0,0,Nov-2025,UNPAID,False
26770110100911012596,2318951,300,0,0,Nov-2025,UNPAID,False
26770110100911012595,2318809,300,0,0,Nov-2025,UNPAID,False
26770110100911012594,2318775,300,0,0,Nov-2025,UNPAID,False
26770110100911012593,2318634,300,0,0,Nov-2025,UNPAID,False
26770110100911012592,2318605,300,0,0,Nov-2025,UNPAID,False
26770110100911012591,2318585,300,0,0,Nov-2025,UNPAID,False
26770110100911012590,2318561,300,0,0,Nov-2025,UNPAID,False
26770110100911012589,2318524,300,0,0,Nov-2025,UNPAID,False
26770110100911012588,2318485,300,0,0,Nov-2025,UNPAID,False
26770110100911012587,2318475,300,0,0,Nov-2025,UNPAID,False
26770110100911012586,2318419,300,0,0,Nov-2025,UNPAID,False
26770110100911012585,2318416,300,0,0,Nov-2025,UNPAID,False
26770110100911012584,2318390,300,0,0,Nov-2025,UNPAID,False
26770110100911012583,2318336,300,0,0,Nov-2025,UNPAID,False
26770110100911012582,2318317,300,0,0,Nov-2025,UNPAID,False
26770110100911012581,2318309,300,0,0,Nov-2025,UNPAID,False
26770110100911012580,2318301,300,0,0,Nov-2025,UNPAID,False
26770110100911012579,2318281,300,0,0,Nov-2025,UNPAID,False
26770110100911012578,2318276,300,0,0,Nov-2025,UNPAID,False
26770110100911012577,2318150,300,0,0,Nov-2025,UNPAID,False
26770110100911012576,2318105,300,0,0,Nov-2025,UNPAID,False
26770110100911012575,2315947,300,0,0,Nov-2025,UNPAID,False
26770110100911012574,2315946,300,0,0,Nov-2025,UNPAID,False
26770110100911012573,2315945,300,0,0,Nov-2025,UNPAID,False
26770110100911012572,2315943,300,0,0,Nov-2025,UNPAID,False
26770110100911012571,2315942,300,0,0,Nov-2025,UNPAID,False
26770110100911012570,2315940,300,0,0,Nov-2025,UNPAID,False
26770110100911012569,2315939,300,0,0,Nov-2025,UNPAID,False
26770110100911012568,2315938,300,0,0,Nov-2025,UNPAID,False
26770110100911012567,2315936,300,0,0,Nov-2025,UNPAID,False
26770110100911012566,2315934,300,0,0,Nov-2025,UNPAID,False
26770110100911012565,2315933,300,0,0,Nov-2025,UNPAID,False
26770110100911012564,2315930,300,0,0,Nov-2025,UNPAID,False
26770110100911012563,2315929,300,0,0,Nov-2025,UNPAID,False
26770110100911012562,2315928,300,0,0,Nov-2025,UNPAID,False
26770110100911012561,2315926,300,0,0,Nov-2025,UNPAID,False
26770110100911012560,2315925,300,0,0,Nov-2025,UNPAID,False
26770110100911012559,2315924,300,0,0,Nov-2025,UNPAID,False
26770110100911012558,2315923,300,0,0,Nov-2025,UNPAID,False
26770110100911012557,2315922,300,0,0,Nov-2025,UNPAID,False
26770110100911012556,2315921,300,0,0,Nov-2025,UNPAID,False
26770110100911012555,2315920,300,0,0,Nov-2025,UNPAID,False
26770110100911012554,2315919,300,0,0,Nov-2025,UNPAID,False
26770110100911012553,2315918,300,0,0,Nov-2025,UNPAID,False
26770110100911012552,2315916,300,0,0,Nov-2025,UNPAID,False
26770110100911012551,2315915,300,0,0,Nov-2025,UNPAID,False
26770110100911012550,2315914,300,0,0,Nov-2025,UNPAID,False
26770110100911012549,2315913,300,0,0,Nov-2025,UNPAID,False
26770110100911012548,2315912,300,0,0,Nov-2025,UNPAID,False
26770110100911012547,2315911,500,0,0,Nov-2025,UNPAID,False
26770110100911012546,2315910,500,0,0,Nov-2025,UNPAID,False
26770110100911012545,2315909,300,0,0,Nov-2025,UNPAID,False
26770110100911012544,2315908,300,0,0,Nov-2025,UNPAID,False
26770110100911012543,2315907,500,0,0,Nov-2025,UNPAID,False
26770110100911012542,2315906,500,0,0,Nov-2025,UNPAID,False
26770110100911012541,2315905,300,0,0,Nov-2025,UNPAID,False
26770110100911012540,2315904,500,0,0,Nov-2025,UNPAID,False
26770110100911012539,2315902,500,0,0,Nov-2025,UNPAID,False
26770110100911012538,2315901,1000,0,0,Nov-2025,UNPAID,False
26770110100911012537,2315900,300,0,0,Nov-2025,UNPAID,False
26770110100911012536,2315899,300,0,0,Nov-2025,UNPAID,False
26770110100911012535,2315898,300,0,0,Nov-2025,UNPAID,False
26770110100911012534,2315897,300,0,0,Nov-2025,UNPAID,False
26770110100911012533,2315896,500,0,0,Nov-2025,UNPAID,False
26770110100911012532,2315895,500,0,0,Nov-2025,UNPAID,False
26770110100911012531,2315894,500,0,0,Nov-2025,UNPAID,False
26770110100911012530,2315893,500,0,0,Nov-2025,UNPAID,False
26770110100911012529,2315891,500,0,0,Nov-2025,UNPAID,False
26770110100911012528,2315890,500,0,0,Nov-2025,UNPAID,False
26770110100911012527,2315889,500,0,0,Nov-2025,UNPAID,False
26770110100911012526,2315888,500,0,0,Nov-2025,UNPAID,False
