psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100915042100,1941225,300,0,330,Oct-2025,UNPAID,False
26770110100915042099,1941184,300,0,330,Oct-2025,UNPAID,False
26770110100915042098,1941153,300,0,330,Oct-2025,UNPAID,False
26770110100915042097,1941142,300,0,330,Oct-2025,UNPAID,False
26770110100915042096,1941139,300,0,330,Oct-2025,UNPAID,False
26770110100915042095,1941134,300,0,330,Oct-2025,UNPAID,False
26770110100915042094,1941133,500,0,550,Oct-2025,UNPAID,False
26770110100915042093,1941121,300,0,330,Oct-2025,UNPAID,False
26770110100915042092,1941097,300,0,330,Oct-2025,UNPAID,False
26770110100915042091,1941084,300,0,330,Oct-2025,UNPAID,False
26770110100915042090,1941082,300,0,330,Oct-2025,UNPAID,False
26770110100915042089,1941067,300,0,330,Oct-2025,UNPAID,False
26770110100915042088,1941066,300,0,330,Oct-2025,UNPAID,False
26770110100915042087,1941062,300,0,330,Oct-2025,UNPAID,False
26770110100915042086,1941056,300,0,330,Oct-2025,UNPAID,False
26770110100915042085,1941055,300,0,330,Oct-2025,UNPAID,False
26770110100915042084,1941050,300,0,330,Oct-2025,UNPAID,False
26770110100915042083,1941048,300,0,330,Oct-2025,UNPAID,False
26770110100915042082,1941046,300,0,330,Oct-2025,UNPAID,False
26770110100915042081,1940989,300,0,330,Oct-2025,UNPAID,False
26770110100915042080,1940988,300,0,330,Oct-2025,UNPAID,False
26770110100915042079,1940987,300,0,330,Oct-2025,UNPAID,False
26770110100915042078,1940972,300,0,330,Oct-2025,UNPAID,False
26770110100915042077,1940966,300,0,330,Oct-2025,UNPAID,False
26770110100915042076,1940959,300,0,330,Oct-2025,UNPAID,False
26770110100915042075,1940948,300,0,330,Oct-2025,UNPAID,False
26770110100915042074,1940930,300,0,330,Oct-2025,UNPAID,False
26770110100915042073,1940927,300,0,330,Oct-2025,UNPAID,False
26770110100915042072,1940922,300,0,330,Oct-2025,UNPAID,False
26770110100915042071,1940913,300,0,330,Oct-2025,UNPAID,False
26770110100915042070,1940908,300,0,330,Oct-2025,UNPAID,False
26770110100915042069,1940899,300,0,330,Oct-2025,UNPAID,False
26770110100915042068,1940888,300,0,330,Oct-2025,UNPAID,False
26770110100915042067,1940886,300,0,330,Oct-2025,UNPAID,False
26770110100915042066,1940869,300,0,330,Oct-2025,UNPAID,False
26770110100915042065,1940868,300,0,330,Oct-2025,UNPAID,False
26770110100915042064,1940802,300,0,330,Oct-2025,UNPAID,False
26770110100915042063,1940193,300,0,330,Oct-2025,UNPAID,False
26770110100915042062,1940191,300,0,330,Oct-2025,UNPAID,False
26770110100915042061,1940177,300,0,330,Oct-2025,UNPAID,False
26770110100915042060,1940171,300,0,330,Oct-2025,UNPAID,False
