psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100915001500,545641,300,0,993,Sep-2025,UNPAID,False
26770110100915001499,545533,300,0,993,Sep-2025,UNPAID,False
26770110100915001498,545487,200,0,662,Sep-2025,UNPAID,False
26770110100915001497,545438,300,0,993,Sep-2025,UNPAID,False
26770110100915001496,545405,200,0,662,Sep-2025,UNPAID,False
26770110100915001495,545404,200,0,662,Sep-2025,UNPAID,False
26770110100915001494,545312,300,0,993,Sep-2025,UNPAID,False
26770110100915001493,545231,300,0,993,Sep-2025,UNPAID,False
26770110100915001492,545121,300,0,993,Sep-2025,UNPAID,False
26770110100915001491,544704,200,0,662,Sep-2025,UNPAID,False
26770110100915001490,544643,700,0,2317,Sep-2025,UNPAID,False
26770110100915001489,544542,700,0,2317,Sep-2025,UNPAID,False
26770110100915001488,544395,700,0,2317,Sep-2025,UNPAID,False
26770110100915001487,544266,300,0,993,Sep-2025,UNPAID,False
26770110100915001486,544265,200,0,662,Sep-2025,UNPAID,False
26770110100915001485,544186,300,0,993,Sep-2025,UNPAID,False
26770110100915001484,544169,700,0,2317,Sep-2025,UNPAID,False
26770110100915001483,544018,300,0,993,Sep-2025,UNPAID,False
26770110100915001482,543944,700,0,2317,Sep-2025,UNPAID,False
26770110100915001481,543906,200,0,662,Sep-2025,UNPAID,False
26770110100915001480,543896,300,0,993,Sep-2025,UNPAID,False
26770110100915001479,543797,700,0,2317,Sep-2025,UNPAID,False
26770110100915001478,543773,300,0,993,Sep-2025,UNPAID,False
26770110100915001477,543657,300,0,993,Sep-2025,UNPAID,False
26770110100915001476,543512,300,0,993,Sep-2025,UNPAID,False
26770110100915001475,543428,500,0,1655,Sep-2025,UNPAID,False
26770110100915001474,543401,300,0,993,Sep-2025,UNPAID,False
26770110100915001473,543373,500,0,1655,Sep-2025,UNPAID,False
26770110100915001472,543283,500,0,1655,Sep-2025,UNPAID,False
26770110100915001471,543273,300,0,993,Sep-2025,UNPAID,False
26770110100915001470,543199,500,0,1655,Sep-2025,UNPAID,False
26770110100915001469,542998,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001468,542905,500,0,1655,Sep-2025,UNPAID,False
26770110100915001467,542864,200,0,662,Sep-2025,UNPAID,False
26770110100915001466,542802,500,0,1655,Sep-2025,UNPAID,False
26770110100915001465,542734,200,0,662,Sep-2025,UNPAID,False
26770110100915001464,542720,500,0,1655,Sep-2025,UNPAID,False
26770110100915001463,542590,200,0,662,Sep-2025,UNPAID,False
26770110100915001462,542533,500,0,1655,Sep-2025,UNPAID,False
26770110100915001461,542283,500,0,1655,Sep-2025,UNPAID,False
26770110100915001460,542219,500,0,1655,Sep-2025,UNPAID,False
26770110100915001459,542161,500,0,1655,Sep-2025,UNPAID,False
26770110100915001458,542108,500,0,1655,Sep-2025,UNPAID,False
26770110100915001457,542070,2000,0,6620,Sep-2025,UNPAID,False
26770110100915001456,541872,500,0,1655,Sep-2025,UNPAID,False
26770110100915001455,541836,300,0,993,Sep-2025,UNPAID,False
26770110100915001454,541754,500,0,1655,Sep-2025,UNPAID,False
26770110100915001453,541748,300,0,993,Sep-2025,UNPAID,False
26770110100915001452,541692,300,0,993,Sep-2025,UNPAID,False
26770110100915001451,541602,500,0,1655,Sep-2025,UNPAID,False
26770110100915001450,541550,700,0,2317,Sep-2025,UNPAID,False
26770110100915001449,541542,300,0,993,Sep-2025,UNPAID,False
26770110100915001448,541487,500,0,1655,Sep-2025,UNPAID,False
26770110100915001447,541442,300,0,993,Sep-2025,UNPAID,False
26770110100915001446,541433,500,0,1655,Sep-2025,UNPAID,False
26770110100915001445,541348,300,0,993,Sep-2025,UNPAID,False
26770110100915001444,541347,500,0,1655,Sep-2025,UNPAID,False
26770110100915001443,541219,500,0,1655,Sep-2025,UNPAID,False
26770110100915001442,541154,300,0,993,Sep-2025,UNPAID,False
26770110100915001441,541128,500,0,1655,Sep-2025,UNPAID,False
26770110100915001440,541094,300,0,993,Sep-2025,UNPAID,False
26770110100915001439,541093,300,0,993,Sep-2025,UNPAID,False
26770110100915001438,541078,500,0,1655,Sep-2025,UNPAID,False
26770110100915001437,541047,300,0,993,Sep-2025,UNPAID,False
26770110100915001436,541031,500,0,1655,Sep-2025,UNPAID,False
26770110100915001435,540958,300,0,993,Sep-2025,UNPAID,False
26770110100915001434,540906,500,0,1655,Sep-2025,UNPAID,False
26770110100915001433,540835,300,0,993,Sep-2025,UNPAID,False
26770110100915001432,540820,500,0,1655,Sep-2025,UNPAID,False
26770110100915001431,540715,300,0,993,Sep-2025,UNPAID,False
26770110100915001430,540641,300,0,993,Sep-2025,UNPAID,False
26770110100915001429,540540,300,0,993,Sep-2025,UNPAID,False
26770110100915001428,540513,400,0,1324,Sep-2025,UNPAID,False
26770110100915001427,540487,300,0,993,Sep-2025,UNPAID,False
26770110100915001426,540483,200,0,662,Sep-2025,UNPAID,False
26770110100915001425,540453,300,0,993,Sep-2025,UNPAID,False
26770110100915001424,540419,300,0,993,Sep-2025,UNPAID,False
26770110100915001423,540386,300,0,993,Sep-2025,UNPAID,False
26770110100915001422,540306,200,0,662,Sep-2025,UNPAID,False
26770110100915001421,540193,300,0,993,Sep-2025,UNPAID,False
26770110100915001420,540092,200,0,662,Sep-2025,UNPAID,False
26770110100915001419,540070,300,0,993,Sep-2025,UNPAID,False
26770110100915001418,539909,300,0,993,Sep-2025,UNPAID,False
26770110100915001417,539799,300,0,993,Sep-2025,UNPAID,False
26770110100915001416,539709,200,0,662,Sep-2025,UNPAID,False
26770110100915001415,539672,200,0,662,Sep-2025,UNPAID,False
26770110100915001414,539614,300,0,993,Sep-2025,UNPAID,False
26770110100915001413,539498,300,0,993,Sep-2025,UNPAID,False
26770110100915001412,539442,200,0,662,Sep-2025,UNPAID,False
26770110100915001411,539401,300,0,993,Sep-2025,UNPAID,False
26770110100915001410,539341,300,0,993,Sep-2025,UNPAID,False
26770110100915001409,539234,200,0,662,Sep-2025,UNPAID,False
26770110100915001408,539102,300,0,993,Sep-2025,UNPAID,False
26770110100915001407,539066,300,0,993,Sep-2025,UNPAID,False
26770110100915001406,539048,300,0,993,Sep-2025,UNPAID,False
26770110100915001405,538981,500,0,1655,Sep-2025,UNPAID,False
26770110100915001404,538943,300,0,993,Sep-2025,UNPAID,False
26770110100915001403,538938,500,0,1655,Sep-2025,UNPAID,False
26770110100915001402,538913,200,0,662,Sep-2025,UNPAID,False
26770110100915001401,538882,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001400,538839,500,0,1655,Sep-2025,UNPAID,False
26770110100915001399,538838,300,0,993,Sep-2025,UNPAID,False
26770110100915001398,538828,300,0,993,Sep-2025,UNPAID,False
26770110100915001397,538827,300,0,993,Sep-2025,UNPAID,False
26770110100915001396,538757,500,0,1655,Sep-2025,UNPAID,False
26770110100915001395,538735,400,0,1324,Sep-2025,UNPAID,False
26770110100915001394,538726,300,0,993,Sep-2025,UNPAID,False
26770110100915001393,538718,500,0,1655,Sep-2025,UNPAID,False
26770110100915001392,538697,300,0,993,Sep-2025,UNPAID,False
26770110100915001391,538669,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001390,538559,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001389,538485,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001388,538475,300,0,993,Sep-2025,UNPAID,False
26770110100915001387,538474,300,0,993,Sep-2025,UNPAID,False
26770110100915001386,538236,300,0,993,Sep-2025,UNPAID,False
26770110100915001385,538192,200,0,662,Sep-2025,UNPAID,False
26770110100915001384,538002,400,0,1324,Sep-2025,UNPAID,False
26770110100915001383,537923,3000,0,9930,Sep-2025,UNPAID,False
26770110100915001382,537886,200,0,662,Sep-2025,UNPAID,False
26770110100915001381,537847,500,0,1655,Sep-2025,UNPAID,False
26770110100915001380,537829,200,0,662,Sep-2025,UNPAID,False
26770110100915001379,537803,200,0,662,Sep-2025,UNPAID,False
26770110100915001378,537801,200,0,662,Sep-2025,UNPAID,False
26770110100915001377,537800,200,0,662,Sep-2025,UNPAID,False
26770110100915001376,537799,200,0,662,Sep-2025,UNPAID,False
26770110100915001375,537798,200,0,662,Sep-2025,UNPAID,False
26770110100915001374,537796,200,0,662,Sep-2025,UNPAID,False
26770110100915001373,537751,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001372,537704,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001371,537646,300,0,993,Sep-2025,UNPAID,False
26770110100915001370,537638,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001369,537594,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001368,537591,300,0,993,Sep-2025,UNPAID,False
