Sr#,PSID,Month,WMC,Division,District,Tehsil,Office,UC,Billing Category,Amount,Fine,Bill PDF,Channel,Paid Date,Paid Amount,Status,Active
1,26770110100911003643,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Medium business,2000,210,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15422-area-5784-02-59-15.pdf,1Bill,"Dec 06, 2025",2000,paid,1
2,26770110100911003593,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15318-area-5780-02-58-37.pdf,OTC/Cash,"Dec 06, 2025",1000,paid,1
3,26770110100911005643,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal","MC-1, MANZOOR HAYAT COLONY BHALWAL",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15340-area-5763-02-58-47.pdf,1Bill,"Dec 06, 2025",500,paid,1
4,26770110100911005004,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-11 Tariq Abad,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15384-area-5773-02-59-04.pdf,1Bill,"Dec 06, 2025",500,paid,1
5,26770110100911007531,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal","MC-1, MANZOOR HAYAT COLONY BHALWAL",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15339-area-5763-02-58-47.pdf,1Bill,"Dec 06, 2025",300,paid,1
6,26770110100911009747,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-5 Zahoor Hayat Colony Bhalwal,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15326-area-5767-02-58-41.pdf,1Bill,"Dec 06, 2025",300,paid,1
7,26770110100911009748,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-5 Zahoor Hayat Colony Bhalwal,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15326-area-5767-02-58-41.pdf,1Bill,"Dec 06, 2025",300,paid,1
8,26770110100911010543,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-10 Noor Hayat Colony,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15358-area-5772-02-58-53.pdf,OTC/Cash,"Dec 06, 2025",300,paid,1
9,26770110100911002857,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15414-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
10,26770110100911002935,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15415-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
11,26770110100911003237,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15315-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
12,26770110100911003453,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15317-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
13,26770110100911003454,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15317-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
14,26770110100911003722,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15415-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
