Sr#,PSID,City,Month,WMC,Division,District,Tehsil,Office,UC,Billing Category,Amount,Fine,Bill PDF,Channel,Paid Date,Paid Amount,Status,Active
1,26770110100915019658,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16070-area-5526-03-03-12.pdf,1Bill,"Dec 06, 2025",500,paid,1
2,26770110100911008794,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15412-area-5784-02-59-13.pdf,1Bill,"Dec 06, 2025",500,paid,1
3,26770110100911003701,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15417-area-5784-02-59-15.pdf,1Bill,"Dec 06, 2025",1000,paid,1
4,26770110100911003395,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Medium business,2000,210,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15318-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",2000,paid,1
5,26770110100915028904,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16215-area-5543-03-04-10.pdf,1Bill,"Dec 06, 2025",300,paid,1
6,26770110100905019693,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-01/Mitha Tiwana/Ward-20/Ihsan Colony,Domestic Urban Above 5 to 10 marla,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14800-area-5986-02-55-39.pdf,1Bill,"Dec 06, 2025",500,paid,1
7,26770110100915006553,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16207-area-5543-03-04-07.pdf,1Bill,"Dec 06, 2025",300,paid,1
8,26770110100915032583,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16217-area-5543-03-04-12.pdf,1Bill,"Dec 06, 2025",300,paid,1
9,26770110100915023082,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16148-area-5539-03-03-44.pdf,1Bill,"Dec 06, 2025",500,paid,1
10,26770110100915020180,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16043-area-5542-03-03-01.pdf,1Bill,"Dec 06, 2025",500,paid,1
11,26770110100915015997,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-12, Urban Area, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16174-area-5534-03-03-54.pdf,1Bill,"Dec 06, 2025",300,paid,1
12,26770110100915032621,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16217-area-5543-03-04-12.pdf,1Bill,"Dec 06, 2025",300,paid,1
13,26770110100915015584,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16035-area-5542-03-02-57.pdf,1Bill,"Dec 06, 2025",500,paid,1
14,26770110100915016310,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16131-area-5539-03-03-35.pdf,1Bill,"Dec 06, 2025",300,paid,1
